App_Name,Remarks,Sentiment,Label,Score,Date_of_Remark
Yalla Ludo - Ludo&Domino,Yellow Ludo is a game that offers a vibrant and engaging experience for players of all ages. Its colorful design and simple gameplay make it accessible to beginners  while its strategic depth provides a challenge for more experienced players. The game's intuitive controls and smooth mechanics ensure a seamless playing experience  while its variety of game modes and customizable options add to its replay value. Overall  Yellow Ludo is a delightful addition to the world of digital board games  off,POSITIVE,0,0.9998734,31-Mar-24
Yalla Ludo - Ludo&Domino,It's a good game but it still need some improvements. For example: 1. There is no option of Team up Mode in VIP Rooms. 2. During the game if you mute opponents then you won't listen to them but they can still listen your conversation. 3. There is no private chat option in the game. 4. Numbers distribution in the game is not balance. Sometimes you get the same numbers repeatedly 3 to 5 times and very often you don't get specific number in 20 to 25 turns. This is very strange. 5. To be continued..,NEGATIVE,1,0.987745345,12-Apr-23
Yalla Ludo - Ludo&Domino,It's a good game but it still need some improvements. For example: 1. There is no option of Team up Mode in VIP Rooms. 2. During the game if you mute opponents then you won't listen to them but they can still listen your conversation. 3. There is no private chat option in the game. 4. Numbers distribution in the game is not balance. Sometimes you get the same numbers repeatedly 3 to 5 times and very often you don't get specific number in 20 to 25 turns. This is very strange. 5. To be continued.,NEGATIVE,1,0.987606108,16-Oct-22
Yalla Ludo - Ludo&Domino,The rules of ludo game needs to be modified as the the option of undo is totally unfair in gameplay. It may be finished immediately. Secondly in tournaments the winner of final gets a lot of coins but for runner up there is nothing. It is totally unfair and disgusting. Both of these decreases the charm of the game. Lastly the graphics of the domino gameplay needs to be improved a lot. Having above drawbacks deserves only 2 stars.,NEGATIVE,1,0.999676824,3-Sep-20
Yalla Ludo - Ludo&Domino, Yalla Ludo offers a refreshing twist to the classic board game  bringing it to the digital realm with flair. Its intuitive interface  smooth gameplay  and various modes make it a standout choice for Ludo enthusiasts. With options to play with friends or strangers worldwide  Yalla Ludo seamlessly blends nostalgia with modern connectivity. However  occasional connectivity issues and advertisements can disrupt the experience. Overall  Yalla Ludo is a fun and addictive choice for both casual and co,POSITIVE,0,0.999795377,6-Apr-24
Yalla Ludo - Ludo&Domino,The app is too slow  refresh rate is too less and we should get notified when a friend becomes online or text us. And in chat there should be options to send voice notes and share files with each other. More on that there should be options to delete messages in chat.,NEGATIVE,1,0.999408484,18-Apr-24
Yalla Ludo - Ludo&Domino,The worst game ever  don't download it guys  if you win 2 times in a row then you are going to fail for another 12 games  they are failing us so that we get addicted to it and try to play more games and it's not good I won't even give 1 star,NEGATIVE,1,0.99981004,29-Apr-24
Yalla Ludo - Ludo&Domino,Updates: 1. Get ready for Jungle Ludo! The jungle is packed with secrets and spectacular items. Warriors  gear up for some adventures! 2. Double-tap to like a Chat Room! Want to show some love? Just double-tap on an empty spot in the room. The more taps  the bigger the combo effects. Help your favorite rooms shine! 3. Introducing Crocodile Dentist  a new mini-game  in chat rooms! Gather your friends for,NEGATIVE,1,0.98634249,11-Apr-24
Yalla Ludo - Ludo&Domino,The dice roll algorithm for this game is absolute garbage. I play with the same group of people usually and every time it's one of two people that get the exact same high numbers and they always win. It's not possible to get these numbers in real life consistently back to back to back. And you can predict when you will die  once the computer decides who will win  you will always get sent back home.,NEGATIVE,1,0.999154449,24-Feb-24
Yalla Ludo - Ludo&Domino,I like Yalla ludo and I often use it for a while.But still I feel some things need to improve because it still having same options that can bore anyone.So if it will be improved more and make some special options for private chat  coin price match that can be win only by high level account only (that is why when I play a high cost match then I lose it every time. I never win hundred thousand coins shared match.). So I request that you should focus that point âð¿.,NEGATIVE,1,0.996748567,26-Mar-24
