App_Name,Remarks,Sentiment,Score,Date_of_Remark,word_counts,char_counts,avg_wordlength,stopwords_counts
Bus Simulator 3D: Bus Games,to many adds,LABEL_1,0.541480601,24-Aug-24,3,12,3.333333333,1
Bus Simulator 3D: Bus Games,lots a adds do not play,LABEL_0,0.919363916,4-Aug-24,6,23,3,3
Bus Simulator 3D: Bus Games,0 ?? not good ?? so much ad's ?? pean no unjoy,LABEL_0,0.967626214,8-Aug-24,16,46,2.1875,3
Bus Simulator 3D: Bus Games,varry bad game and random ly added ku vul kore o game ta nameo naa.khalty toparbei na.....10 sns por por e khale add,LABEL_1,0.64315629,9-Aug-24,25,116,3.76,2
Bus Simulator 3D: Bus Games,it is so bad i can't even play the game with out me trying to do anything.,LABEL_0,0.968899846,10-Jun-24,19,74,3.052631579,10
Bus Simulator 3D: Bus Games,this game is very interesting because its features and graphics are very awesome and wonderful and its controls are very smooth and very easy to install and easy to play??,LABEL_2,0.990908563,27-Sep-22,32,171,4.4375,18
Gangster Game Crime Mafia City,"wow. the graphics are so bad. the controls are terrible too. i uninstalled this game after about 4 minutes playing it. i got sick of the quality and it takes so long to move around the playing field/city. i also wanted to say that the ads are really intense and show up all the time. even with my ad blocker on, this game is still awful.",LABEL_0,0.980197906,31-May-24,74,337,3.675675676,33
Gangster Game Crime Mafia City,"everytime you tap on a icon to do something then a add comes up, i had to watch 8 ads before i could actualy ay the game, once you see your character you tap on the moving icon btm left then you must watch an ad, tap to get into the car you must watch a ad, really not fun trying to play a game like that, unity have gone backwards i'm disappointed in unity your games used to be great i never get ads by playing gta5 on my pc",LABEL_0,0.909291327,27-Jun-24,97,426,3.463917526,42
Gangster Game Crime Mafia City,giving this a one star is only a mistake i haven't seen any terrible game than this to load a misson requires you watching ads i haven't played a game that to collect a gun requires you watching ads this is so stressing not even pubg mobile and the rest those this why is this game so useless,LABEL_0,0.960878551,1-Sep-24,60,292,3.916666667,32
Gangster Game Crime Mafia City,"very bad experience advertisements come on like every 30 seconds, how is someone supposed to enjoy the game when they are interrupted at every turn by annoying ads? this has the potential to be one of the most entertaining games if only it wasn't the ads. work on it and may be make it an offline game because at this rate am deleting it immediately.",LABEL_0,0.650854111,24-Apr-24,70,350,4.085714286,35
Gangster Game Crime Mafia City,this game is very bad because of the ads and the graphics shown on the pictures are way more 3d so please do something with the ads and the graphics. thanking you,LABEL_0,0.925936818,23-Jun-24,33,162,3.96969697,19
Gangster Game Crime Mafia City,this is the worse game i've ever tried cause this game is full of ads and so many bugs grr like ew this game is made of trash and i don't even know who created this game.... and the one who created this game is a gold digger!!! why? cause she/he made this game just to earn more money!!!!,LABEL_0,0.982329428,1-Jul-24,70,288,3.285714286,28
Gangster Game Crime Mafia City,?????????????? ???????? ???????????? ?????? ??????????????? ???? ?????? ?????? ?????? ???? ??????? ??????? ????? ???????? ???? ???????? ?????? ???? ??????. ??????? ???? ????? ?????????????? ?????????????? ???????? ?? ??????? ???????? ????????????.????????? ???? ????????.??????,LABEL_1,0.603731155,21-Jun-24,247,277,1,0
Gangster Game Crime Mafia City,"too much ads but good game maybe when you stop all ads i can download the game back ,worst game ever!!!!!!!!!!!",LABEL_0,0.571300983,14-Aug-24,33,111,2.757575758,8
Gangster Game Crime Mafia City,there's a problem to fix the ads are too much not even able to play every 10 seconds an ad appears,LABEL_0,0.918998063,8-Jun-24,22,98,3.545454545,9
Gangster Game Crime Mafia City,this is the most ad game if we want to enter a car or do any action in game it is taking an ad. the videos and game profile are gta 5 videos. if anybody wants to install a game please check the review... and am rating this only o.o,LABEL_1,0.506781816,1-Jul-24,53,231,3.433962264,26
Gangster Game Crime Mafia City,"very very bad game i had play .this should be deleted from play store , please do not download this game it's ad is more game play is less . who make this game was very bad game develop . you can not make any other game please",LABEL_0,0.968184054,20-Jun-24,49,226,3.653061224,23
Gangster Game Crime Mafia City,terrible experience...ad at every corner of this game. at this point it's not even a game but a portal to watch ads,LABEL_0,0.966173589,20-Jun-24,26,115,3.615384615,11
Gangster Game Crime Mafia City,"fracking game app!!!!during play adds are everywhere, there's always loading everytime i take action!!!this game feel me sad n angry! fix the lag!",LABEL_0,0.950425327,9-Jul-24,36,146,3.444444444,7
Gangster Game Crime Mafia City,"just downloaded the game and can't even get to play it in peace, everything has to do with ads,i have to watch ads for everything ??",LABEL_0,0.925030768,29-Jun-24,31,132,3.451612903,14
Gangster Game Crime Mafia City,"good graphic .but problem is too much ads, that pop up on your screen when you are busy playing. the game is good but problems is too much ads that end up make the game becomes frustrating",LABEL_0,0.696564138,17-Mar-24,39,188,3.897435897,17
Gangster Game Crime Mafia City,this is the a very bad app you be able to play games everytime they always show ads,LABEL_0,0.97272104,25-Aug-24,18,83,3.666666667,9
Gangster Game Crime Mafia City,graphics problem and pop-ups problem. room for improvement,LABEL_1,0.543728948,14-Aug-24,9,58,5.666666667,2
Gangster Game Crime Mafia City,horrible game. laggy not the best graphics highly adds keep popping up definitely not recommended,LABEL_0,0.979945064,11-Aug-24,16,97,5.1875,4
Gangster Game Crime Mafia City,too much of advertising in this game i have to watch ads to equip anything,LABEL_0,0.890024304,26-Aug-24,15,74,4,8
Gangster Game Crime Mafia City,bro this game is many adds and verry low graphics i don't recommend this game this is verrlo low graphics,LABEL_0,0.965567589,24-Aug-24,21,105,4.095238095,8
Gangster Game Crime Mafia City,too many ads every 5 seconds there is ad the game is not smooth it stops in between,LABEL_0,0.943963051,17-Aug-24,18,83,3.666666667,9
Gangster Game Crime Mafia City,very bad graphics and it's a add supporting game there's an add after every minute,LABEL_0,0.93706274,8-Aug-24,17,82,4,7
Gangster Game Crime Mafia City,ads and ads and ads and ads before you even play. waste of time.,LABEL_0,0.928960621,16-Aug-24,16,64,3.1875,6
Gangster Game Crime Mafia City,do not download. waste of time. even if you want to sit in a car you have to watch ad. thankfully i am using adblocker and this stupid developer couldn't get anything from me. i'm gonna reverse engineer this game and spread all of it's assets onto free sites.,LABEL_0,0.762981594,22-May-24,58,259,3.637931034,23
Gangster Game Crime Mafia City,you have to watch an ad for everything it sucks it's so glitchy it's not even funny i'm going to leave a one-star review this game is a total dump you talking about a bad about this game all day,LABEL_0,0.978239477,26-Jun-24,43,194,3.604651163,22
Gangster Game Crime Mafia City,"its like i download the game to watch ads,,nothing good at all ads after ads i dont even get time to play the game,,, waste of time",LABEL_0,0.962286472,23-Jul-24,32,131,3.28125,11
Gangster Game Crime Mafia City,it's a good game just the ads keep popping up same problem,LABEL_0,0.472982347,17-Aug-24,13,58,3.615384615,6
Gangster Game Crime Mafia City,"the screen shots are nothing like the game, ads are everywhere and the ui looks like we're back in 2017, it's 2024",LABEL_0,0.854949236,11-Jun-24,26,114,3.576923077,9
Gangster Game Crime Mafia City,this game is very useless.and the ads are very high.but i did not like this game because this is like a dumb thing or a extra weight in this google play store.,LABEL_0,0.979754627,11-Jun-24,33,159,3.878787879,18
Gangster Game Crime Mafia City,very bad game i am saying this only because of ads but also for the graphics. game is not actually same as being shown please do not download this game,LABEL_0,0.972281575,28-Jun-24,31,151,3.935483871,18
Gangster Game Crime Mafia City,gives you an ad evry time when i accdently touch the map i go back but it says to watch an dumb ad so dont get and i dont like the backround music its so anoying,LABEL_0,0.963329434,18-Jul-24,36,161,3.5,16
Gangster Game Crime Mafia City,ad in every 5 sec at every moment and you can't stop it as it is online game seriously i never seen such a stupid time wasting game,LABEL_0,0.925805509,27-Jul-24,29,131,3.586206897,11
Gangster Game Crime Mafia City,the game is okay but the issue is the ads is to much please you guys should do something about the ads it's too much please,LABEL_0,0.51613301,11-Jun-24,27,123,3.62962963,15
Gangster Game Crime Mafia City,this game is bad even if u turn off internet ads still come on its boring got tomwatch ads for everything ?? delete this game ripoff imwant to put it in 0 stars but i can't,LABEL_0,0.981445491,21-Jul-24,38,172,3.605263158,13
Gangster Game Crime Mafia City,"this game is so annoying adds super annoying,this game should be deleted or banned because it's so annoying, it's so bad that adds to adds make money",LABEL_0,0.982559562,16-Jun-24,32,149,3.84375,14
Gangster Game Crime Mafia City,the game:if you want cash then watch ads me: :( the game:if you want a pistol then watch ads me: what's next???? the game:to run watch ads me: ...,LABEL_0,0.492626935,12-Jul-24,44,146,2.681818182,15
Gangster Game Crime Mafia City,"this would be enjoyable if there was no ads,i don't even know of how this game existed in play store,this game needs to be shut down",LABEL_0,0.770886779,23-Jun-24,31,132,3.451612903,16
Gangster Game Crime Mafia City,very bad experience because each and every 30 second a add will come,LABEL_0,0.929394543,14-Jun-24,13,68,4.307692308,6
Gangster Game Crime Mafia City,"worst game ever ?? you have ads for entrying in car , equip gun very worst game",LABEL_0,0.970018804,7-Jun-24,18,79,3.5,5
Gangster Game Crime Mafia City,it's a boring game..... to many ads irritates every sec.,LABEL_0,0.980751395,7-Jul-24,13,56,3.615384615,3
Gangster Game Crime Mafia City,"very bad app, so many ads, when will i actually play the game ? the app uninstall should be done ????????????",LABEL_0,0.967465818,27-Jun-24,34,109,2.617647059,9
Gangster Game Crime Mafia City,gta 5 hgh gta5 mod hhcvnjikjs gkknhiml koujko ppkltext and images you copy will automatically show heretext and images you copy will automatically show herepin clipboard items to stop them expiring after 1 hour ppl gta v,LABEL_1,0.751799583,5-Jun-24,37,220,4.972972973,9
Gangster Game Crime Mafia City,it's a fake game. not as shown in pictures. too much ads. bad experience ??,LABEL_0,0.955020726,24-Jul-24,20,75,3.05,6
Gangster Game Crime Mafia City,too many ads good graphic but totally useless no fun at all because of adds,LABEL_0,0.960591257,26-Jul-24,15,75,4.066666667,7
Gangster Game Crime Mafia City,too many ads and it glitchy for me in my opinion i wouldnt download the game,LABEL_0,0.960977256,23-Jul-24,16,76,3.8125,9
Gangster Game Crime Mafia City,this is very bad and bad game because in this every time have ads and ads,LABEL_0,0.975891948,21-Jul-24,16,73,3.625,9
Gangster Game Crime Mafia City,good for time pass but too much advertisements.,LABEL_1,0.457885802,27-Aug-24,9,47,4.444444444,3
Gangster Game Crime Mafia City,the game is good but too slow and their is always ads and will have to fix the controller it is not moving at all always cracking can you people work with that then i can give a 5 stars,LABEL_0,0.492013395,4-Jun-24,40,185,3.65,25
Gangster Game Crime Mafia City,the graphics are kinda bad. most of the time the adds are very annoying.. and the game is laggy.,LABEL_0,0.972951651,23-May-24,22,96,3.545454545,11
Gangster Game Crime Mafia City,this is the worst game ever....... the graphics is not acceptable..... ads always pops up whenever you are going to do something important....... so i will advise you not to download the apk cus it is a total waste of time... and i am even deleting the app now cus it's useless to me..,LABEL_0,0.983854234,4-May-24,60,285,3.866666667,30
Gangster Game Crime Mafia City,"bad and even one of the worst game i have ever played though graphics a little bit okay but still that too much of ads, game that hangs on a 5g phone i will advise don't waste your data downloading this game",LABEL_0,0.961819947,19-May-24,44,207,3.772727273,18
Gangster Game Crime Mafia City,"hello, i m confirming that this game is pretty good for low-end devices, but it can be a great success if you work on improving graphics and users' experience",LABEL_2,0.983807087,10-Mar-24,32,158,4.0625,15
Gangster Game Crime Mafia City,i totally dislike this game because everytime you click on anything it pops up adds which is annoying also it doesn't works without wifi. this made me delete this game. this problem needs to be fixed otherwise this is a useless game. i would prefer you guys to experience it once and uninstall it forever.,LABEL_0,0.976313114,25-Jul-24,60,305,4.183333333,27
Gangster Game Crime Mafia City,don't download this it is the worst game i ever seen it in this description they told that it is offline game and the graphic is go good in the photos but i open the game but it is low graphic worst graphic and it was a internet game that it is the online game don't waste 117mb,LABEL_0,0.939190567,21-Apr-24,60,278,3.683333333,33
Gangster Game Crime Mafia City,best game i had ever played but the ad for every change in the game and sometimes the ad will open website then if we get out of the website the game will start from the starting point,LABEL_2,0.840870559,8-May-24,38,184,3.868421053,20
Gangster Game Crime Mafia City,the game is boring because of advertisements,LABEL_0,0.979879558,26-Aug-24,7,44,5.428571429,4
Gangster Game Crime Mafia City,i swear this is tatal nonsense and trash ??? this the worst game ever have ever seen in my life i will advise people not to download this game it very annoying ??????????,LABEL_0,0.983813643,27-Aug-24,44,170,3.136363636,16
Gangster Game Crime Mafia City,"probably the worst game made so far, i uninstalled this game in the tutorial, the graphics is stupid and you can't even move well, just before you start the game you would have already watched 5 ads already and if you want to get into a vehicle you must watch an add, even if you changed your mind not to get into the vehicle anymore. if only i can give it a zero(0) star rating it would be befitting for a game of this caliber ??. trash",LABEL_0,0.968223393,21-May-24,98,437,3.581632653,43
Gangster Game Crime Mafia City,too much adds my suggestion is that can't download bcz after every half min there is an add,LABEL_0,0.822587371,13-Jun-24,19,91,3.894736842,8
Gangster Game Crime Mafia City,it's a very frustrating app to me. there are lot of ads. when you open game or return from any mission there would be ad. the game also has poor graphics. i'm installing this game. ????,LABEL_0,0.977221608,31-Aug-24,46,185,3.260869565,19
Gangster Game Crime Mafia City,tooo much ads how can i play with too many ads i am uninstalling it,LABEL_0,0.957508802,22-Jun-24,15,67,3.533333333,8
Gangster Game Crime Mafia City,to much porn adds very bad graphics and very cheap game please do not download,LABEL_0,0.972164929,26-Aug-24,15,78,4.266666667,6
Gangster Game Crime Mafia City,this is very good game .i like it . but this is have a ads in a game .please solve the problem. is really bad????. i request please solve it. in this game i have a bad experience.,LABEL_0,0.374057531,24-Mar-24,46,179,3.086956522,20
Gangster Game Crime Mafia City,very bad experience so many ads don't download the game time waste,LABEL_0,0.974312246,6-Jun-24,13,66,4.230769231,4
Gangster Game Crime Mafia City,"i tried installing this game. they were right about the ads; they can be annoying and ruin the experience. the graphics and gameplay are decent, and it runs smoothly on my phone. however, when i tried to get a weapon, i couldn't scroll the screen to aim at the target. it has potential but definitely needs some fixing.",LABEL_0,0.435073614,19-Apr-24,68,319,3.852941176,31
Gangster Game Crime Mafia City,"i didn't even want to give it 1 star but i don't have any other option. i have never seen a worse and worse game than this. it is written here that the game is offline and online, that too is super leggy and there are a lot of ads. and anyway, this game was made in collaboration with unity, so what can we expect from unity? this is the worst game i played in my entire life don't download it and save your internet and time.",LABEL_0,0.972381055,16-May-24,98,426,3.469387755,52
