App_Name,Remarks,Sentiment,Score,Date_of_Remark
Yalla Ludo - Ludo&Domino,"What a disappointment! While I was engaged in gameplay, my data remained active, yet it attempted to reconnect. Upon successful reconnection, I discovered that my three dice had been eliminated. The automated system in auto mode operates your dice without finesse, resulting in novice-level play. I urge you to enhance your computer for optimal performance. Until then, I will proceed with uninstalling the application.",LABEL_0,0.706854343,22-Jun-24
Yalla Ludo - Ludo&Domino,"Yellow Ludo is a game that offers a vibrant and engaging experience for players of all ages. Its colorful design and simple gameplay make it accessible to beginners, while its strategic depth provides a challenge for more experienced players. The game's intuitive controls and smooth mechanics ensure a seamless playing experience, while its variety of game modes and customizable options add to its replay value. Overall, Yellow Ludo is a delightful addition to the world of digital board games, off",LABEL_2,0.9812392,31-Mar-24
Yalla Ludo - Ludo&Domino,It's a good game but it still need some improvements. For example: 1. There is no option of Team up Mode in VIP Rooms. 2. During the game if you mute opponents then you won't listen to them but they can still listen your conversation. 3. There is no private chat option in the game. 4. Numbers distribution in the game is not balance. Sometimes you get the same numbers repeatedly 3 to 5 times and very often you don't get specific number in 20 to 25 turns. This is very strange. 5. To be continued..,LABEL_0,0.520397902,12-Apr-23
Yalla Ludo - Ludo&Domino,The rules of ludo game needs to be modified as the the option of undo is totally unfair in gameplay. It may be finished immediately. Secondly in tournaments the winner of final gets a lot of coins but for runner up there is nothing. It is totally unfair and disgusting. Both of these decreases the charm of the game. Lastly the graphics of the domino gameplay needs to be improved a lot. Having above drawbacks deserves only 2 stars.,LABEL_0,0.898329198,3-Sep-20
Yalla Ludo - Ludo&Domino,I like this game and playing for quite some time. The problem is that this game is mostly one sided. I lost 8 games in a row. What is this? Don't think I am a bad player of Yalla ludo. Another major problem is that when you are one number behind the finish point.. you will never get one number and the other player will get all his token to the finish point. Please look into the matter seriously.,LABEL_0,0.666702867,14-Aug-23
Yalla Ludo - Ludo&Domino,"I wish I could choose the region I play in. I'm living on an army base in Kuwait so everyone I play speaks Arabic. Changing the language does nothing. As far as the gameplay goes. The dice is def tampered with. The chance of hitting six on the die is the highest. Thats so you get out quicker. When the game wants you to lose, just except it. Your opponents will hit you every other opportunity and you won't get any good rolls. Take the L and try again. The one sidedness is so blantant.",LABEL_0,0.666142881,18-Aug-24
Yalla Ludo - Ludo&Domino,There should be some improvement in the game. I big issue that user mostly faces is that the ranked pusher takes too much time in his turn. The team should take action against them. Thanks,LABEL_0,0.485592008,24-Aug-24
Yalla Ludo - Ludo&Domino,"The worst game I've ever played in my life! There is no fairness in it.. It makes the contestants lower and higher in rank than me always win! There is also a large amount of fraud!! There are preferences. This is unfair. My level is high and my game is good, but I always lose to people in this silly game!!",LABEL_0,0.959713578,7-Aug-24
Yalla Ludo - Ludo&Domino,I was about to give 5 stars but... from 5 lakh coins i lost almost every game till now and now i have only 15k coins left...because your sytem don't want me to win.. when i play 10k game i lose..when i play 2000 or 500 game i win.. I am giving zero stars to your ludo... i am aboutt to uninstall this app.. When you want me to loose you won't give me that number to cut token... And also no sixes..but opponent will have sixes almost in every single turn,LABEL_0,0.852362156,28-Jul-24
Yalla Ludo - Ludo&Domino,"I love it but most pipo here are not here to play but hitting on women,and everyone here doesn't know English,u will be playing and all of a sudden,someone says u boy or girl,after they say they love you,,but for the game is addictive,so perfect,I can't stop playing,i love it??",LABEL_2,0.948266566,22-Aug-24
